index,Month,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
9576,DEC,1167,2295,1927,2557,2937,3317,3696,4077,4457,4837,5217,5597,5977,6357,6737,7117,7497,7877,8257,8638,9018,9398
9577,JAN,1169,2300,1931,2562,2943,3324,3705,4086,4467,4848,5229,5610,5991,6373,6753,7134,7515,7896,8277,8659,9039,9420
9578,FEB,1172,2305,1936,2568,2950,3332,3714,4096,4478,4860,5242,5624,6006,6388,6770,7151,7533,7915,8297,8679,9061,9443
9579,MAR,1174,2311,1940,2574,2957,3340,3722,4105,4488,4871,5254,5637,6020,6403,6786,7168,7551,7934,8317,8700,9083,9466
9580,APR,1176,2316,1944,2580,2963,3347,3731,4115,4499,4883,5266,5650,6034,6418,6802,7185,7569,7953,8337,8721,9105,9488
9581,MAY,1178,2321,1948,2585,2970,3355,3739,4124,4509,4894,5279,5663,6048,6433,6818,7202,7587,7972,8357,8742,9126,9511
9582,JUN,1181,2326,1952,2591,2977,3363,3748,4134,4519,4905,5291,5677,6062,6448,6834,7219,7605,7991,8377,8763,9148,9534
9583,JUL,1183,2332,1956,2597,2983,3370,3756,4143,4530,4917,5303,5690,6077,6463,6850,7236,7623,8010,8396,8783,9170,9557
9584,AUG,1185,2337,1960,2603,2990,3378,3765,4153,4540,4928,5316,5703,6091,6479,6866,7253,7641,8029,8416,8804,9192,9579
9585,SEP,1187,2342,1964,2608,2997,3385,3774,4162,4551,4940,5328,5717,6105,6494,6882,7270,7659,8048,8436,8825,9213,9602
9586,OCT,1189,2348,1968,2614,3004,3393,3782,4172,4561,4951,5340,5730,6119,6509,6898,7287,7677,8067,8456,8846,9235,9625
9587,NOV,1192,2353,1972,2620,3010,3401,3791,4181,4572,4962,5353,5743,6133,6524,6914,7304,7695,8086,8476,8867,9257,9647
9588,DEC,1194,2358,1977,2626,3017,3408,3799,4191,4582,4974,5365,5756,6148,6539,6930,7321,7713,8104,8496,8887,9278,9670
9589,JAN,1196,2363,1981,2631,3024,3416,3808,4200,4593,4985,5377,5770,6162,6554,6947,7338,7731,8123,8516,8908,9300,9693
9590,FEB,1198,2369,1985,2637,3030,3424,3817,4210,4603,4997,5390,5783,6176,6570,6963,7355,7749,8142,8535,8929,9322,9715
9591,MAR,1201,2374,1989,2643,3037,3431,3825,4219,4614,5008,5402,5796,6190,6585,6979,7372,7767,8161,8555,8950,9344,9738
9592,APR,1203,2379,1993,2649,3044,3439,3834,4229,4624,5019,5414,5809,6205,6600,6995,7389,7785,8180,8575,8971,9365,9761
9593,MAY,1205,2385,1997,2654,3050,3447,3842,4239,4634,5031,5427,5823,6219,6615,7011,7406,7803,8199,8595,8991,9387,9783
9594,JUN,1207,2390,2001,2660,3057,3454,3851,4248,4645,5042,5439,5836,6233,6630,7027,7424,7821,8218,8615,9012,9409,9806
9595,JUL,1209,2395,2005,2666,3064,3462,3859,4258,4655,5054,5451,5849,6247,6645,7043,7441,7839,8237,8635,9033,9431,9829
9596,AUG,1212,2400,2009,2672,3070,3469,3868,4267,4666,5065,5464,5863,6261,6661,7059,7458,7857,8256,8655,9054,9452,9851
9597,SEP,1214,2406,2014,2677,3077,3477,3877,4277,4676,5076,5476,5876,6276,6676,7075,7475,7875,8275,8674,9075,9474,9874
9598,OCT,1216,2411,2018,2683,3084,3485,3885,4286,4687,5088,5488,5889,6290,6691,7091,7492,7893,8294,8694,9095,9496,9897
9599,NOV,1218,2416,2022,2689,3090,3492,3894,4296,4697,5099,5501,5902,6304,6706,7108,7509,7911,8313,8714,9116,9518,9919
9600,DEC,1221,2422,2026,2695,3097,3500,3902,4305,4708,5110,5513,5916,6318,6721,7124,7526,7929,8332,8734,9137,9539,9942
9601,JAN,1223,2427,2030,2700,3104,3508,3911,4315,4718,5122,5525,5929,6332,6736,7140,7543,7946,8350,8754,9158,9561,9965
9602,FEB,1225,2432,2034,2706,3111,3515,3919,4324,4729,5133,5538,5942,6347,6751,7156,7560,7964,8369,8774,9179,9583,9987
9603,MAR,1227,2437,2038,2712,3117,3523,3928,4334,4739,5145,5550,5956,6361,6767,7172,7577,7982,8388,8794,9199,9605,10010
9604,APR,1230,2443,2042,2718,3124,3530,3937,4343,4749,5156,5562,5969,6375,6782,7188,7594,8000,8407,8813,9220,9626,10033
9605,MAY,1232,2448,2046,2723,3131,3538,3945,4353,4760,5167,5575,5982,6389,6797,7204,7611,8018,8426,8833,9241,9648,10055
9606,JUN,1234,2453,2050,2729,3137,3546,3954,4362,4770,5179,5587,5995,6404,6812,7220,7628,8036,8445,8853,9262,9670,10078
9607,JUL,1236,2458,2055,2735,3144,3553,3962,4372,4781,5190,5599,6009,6418,6827,7236,7645,8054,8464,8873,9283,9692,10101
9608,AUG,1238,2464,2059,2741,3151,3561,3971,4381,4791,5202,5612,6022,6432,6842,7252,7662,8072,8483,8893,9303,9713,10124
9609,SEP,1241,2469,2063,2746,3157,3569,3979,4391,4802,5213,5624,6035,6446,6858,7269,7679,8090,8502,8913,9324,9735,10146
9610,OCT,1243,2474,2067,2752,3164,3576,3988,4400,4812,5224,5636,6048,6460,6873,7285,7696,8108,8521,8933,9345,9757,10169
9611,NOV,1245,2480,2071,2758,3171,3584,3997,4410,4823,5236,5649,6062,6475,6888,7301,7713,8126,8540,8952,9366,9778,10192
9612,DEC,1247,2485,2075,2764,3177,3592,4005,4419,4833,5247,5661,6075,6489,6903,7317,7730,8144,8559,8972,9387,9800,10214
9613,JAN,1250,2490,2079,2769,3184,3599,4014,4429,4843,5259,5673,6088,6503,6918,7333,7747,8162,8577,8992,9407,9822,10237
9614,FEB,1252,2495,2083,2775,3191,3607,4022,4438,4854,5270,5686,6102,6517,6933,7349,7764,8180,8596,9012,9428,9844,10260
9615,MAR,1254,2501,2087,2781,3198,3614,4031,4448,4864,5281,5698,6115,6531,6949,7365,7781,8198,8615,9032,9449,9865,10282
9616,APR,1256,2506,2092,2787,3204,3622,4039,4457,4875,5293,5710,6128,6546,6964,7381,7798,8216,8634,9052,9470,9887,10305
9617,MAY,1258,2511,2096,2792,3211,3630,4048,4467,4885,5304,5723,6141,6560,6979,7397,7815,8234,8653,9072,9491,9909,10328
9618,JUN,1261,2517,2100,2798,3218,3637,4057,4476,4896,5316,5735,6155,6574,6994,7413,7832,8252,8672,9091,9511,9931,10350
9619,JUL,1263,2522,2104,2804,3224,3645,4065,4486,4906,5327,5747,6168,6588,7009,7429,7849,8270,8691,9111,9532,9952,10373
9620,AUG,1265,2527,2108,2810,3231,3653,4074,4495,4917,5338,5760,6181,6603,7024,7446,7866,8288,8710,9131,9553,9974,10396
9621,SEP,1267,2532,2112,2815,3238,3660,4082,4505,4927,5350,5772,6194,6617,7039,7462,7883,8306,8729,9151,9574,9996,10418
9622,OCT,1270,2538,2116,2821,3244,3668,4091,4514,4938,5361,5784,6208,6631,7055,7478,7901,8324,8748,9171,9595,10018,10441
9623,NOV,1272,2543,2120,2827,3251,3676,4099,4524,4948,5373,5797,6221,6645,7070,7494,7918,8342,8767,9191,9615,10039,10464
9624,DEC,1274,2548,2124,2833,3258,3683,4108,4533,4958,5384,5809,6234,6659,7085,7510,7935,8360,8786,9211,9636,10061,10486
9625,JAN,1276,2554,2128,2838,3264,3691,4117,4543,4969,5395,5821,6248,6674,7100,7526,7952,8378,8804,9230,9657,10083,10509
9626,FEB,1278,2559,2133,2844,3271,3698,4125,4552,4979,5407,5834,6261,6688,7115,7542,7969,8396,8823,9250,9678,10105,10532
9627,MAR,1281,2564,2137,2850,3278,3706,4134,4562,4990,5418,5846,6274,6702,7130,7558,7986,8414,8842,9270,9699,10126,10554
9628,APR,1283,2569,2141,2856,3285,3714,4142,4571,5000,5430,5858,6287,6716,7146,7574,8003,8432,8861,9290,9719,10148,10577
9629,MAY,1285,2575,2145,2861,3291,3721,4151,4581,5011,5441,5871,6301,6731,7161,7590,8020,8450,8880,9310,9740,10170,10600
9630,JUN,1287,2580,2149,2867,3298,3729,4159,4590,5021,5452,5883,6314,6745,7176,7607,8037,8468,8899,9330,9761,10192,10623
9631,JUL,1290,2585,2153,2873,3305,3737,4168,4600,5032,5464,5895,6327,6759,7191,7623,8054,8486,8918,9350,9782,10213,10645
9632,AUG,1292,2590,2157,2879,3311,3744,4177,4610,5042,5475,5908,6340,6773,7206,7639,8071,8504,8937,9369,9803,10235,10668
9633,SEP,1294,2596,2161,2884,3318,3752,4185,4619,5053,5486,5920,6354,6787,7221,7655,8088,8522,8956,9389,9823,10257,10691
9634,OCT,1296,2601,2165,2890,3325,3759,4194,4629,5063,5498,5932,6367,6802,7236,7671,8105,8540,8975,9409,9844,10278,10713
9635,NOV,1298,2606,2170,2896,3331,3767,4202,4638,5073,5509,5945,6380,6816,7252,7687,8122,8558,8994,9429,9865,10300,10736
9636,DEC,1301,2612,2174,2902,3338,3775,4211,4648,5084,5521,5957,6394,6830,7267,7703,8139,8576,9013,9449,9886,10322,10759
9637,JAN,1303,2617,2178,2907,3345,3782,4219,4657,5094,5532,5969,6407,6844,7282,7719,8156,8594,9031,9469,9907,10344,10781
9638,FEB,1305,2622,2182,2913,3351,3790,4228,4667,5105,5543,5982,6420,6858,7297,7735,8173,8612,9050,9489,9928,10365,10804
9639,MAR,1307,2627,2186,2919,3358,3798,4237,4676,5115,5555,5994,6433,6873,7312,7751,8190,8630,9069,9508,9948,10387,10827
9640,APR,1310,2633,2190,2925,3365,3805,4245,4686,5126,5566,6006,6447,6887,7327,7768,8207,8648,9088,9528,9969,10409,10849
9641,MAY,1312,2638,2194,2930,3372,3813,4254,4695,5136,5578,6019,6460,6901,7343,7784,8224,8666,9107,9548,9990,10431,10872
9642,JUN,1314,2643,2198,2936,3378,3821,4262,4705,5147,5589,6031,6473,6915,7358,7800,8241,8684,9126,9568,10011,10452,10895
9643,JUL,1316,2649,2202,2942,3385,3828,4271,4714,5157,5600,6043,6487,6930,7373,7816,8258,8702,9145,9588,10032,10474,10917
9644,AUG,1318,2654,2206,2948,3392,3836,4279,4724,5168,5612,6056,6500,6944,7388,7832,8275,8719,9164,9608,10052,10496,10940
9645,SEP,1321,2659,2211,2953,3398,3843,4288,4733,5178,5623,6068,6513,6958,7403,7848,8292,8737,9183,9628,10073,10518,10963
9646,OCT,1323,2664,2215,2959,3405,3851,4297,4743,5188,5635,6080,6526,6972,7418,7864,8309,8755,9202,9647,10094,10539,10985
9647,NOV,1325,2670,2219,2965,3412,3859,4305,4752,5199,5646,6093,6540,6986,7434,7880,8326,8773,9221,9667,10115,10561,11008
9648,DEC,1327,2675,2223,2971,3418,3866,4314,4762,5209,5657,6105,6553,7001,7449,7896,8343,8791,9240,9687,10136,10583,11031
9649,JAN,1330,2680,2227,2976,3425,3874,4322,4771,5220,5669,6117,6566,7015,7464,7912,8360,8809,9259,9707,10156,10605,11053
9650,FEB,1332,2686,2231,2982,3432,3882,4331,4781,5230,5680,6130,6579,7029,7479,7928,8378,8827,9277,9727,10177,10626,11076
9651,MAR,1334,2691,2235,2988,3438,3889,4339,4790,5241,5692,6142,6593,7043,7494,7945,8395,8845,9296,9747,10198,10648,11099
9652,APR,1336,2696,2239,2994,3445,3897,4348,4800,5251,5703,6154,6606,7057,7509,7961,8412,8863,9315,9767,10219,10670,11121
9653,MAY,1338,2701,2243,2999,3452,3904,4357,4809,5262,5714,6167,6619,7072,7524,7977,8429,8881,9334,9787,10240,10692,11144
9654,JUN,1341,2707,2248,3005,3459,3912,4365,4819,5272,5726,6179,6633,7086,7540,7993,8446,8899,9353,9806,10260,10713,11167
9655,JUL,1343,2712,2252,3011,3465,3920,4374,4828,5283,5737,6191,6646,7100,7555,8009,8463,8917,9372,9826,10281,10735,11190
9656,AUG,1345,2717,2256,3017,3472,3927,4382,4838,5293,5749,6204,6659,7114,7570,8025,8480,8935,9391,9846,10302,10757,11212
9657,SEP,1347,2722,2260,3022,3479,3935,4391,4847,5303,5760,6216,6672,7129,7585,8041,8497,8953,9410,9866,10323,10779,11235
9658,OCT,1350,2728,2264,3028,3485,3943,4399,4857,5314,5771,6228,6686,7143,7600,8057,8514,8971,9429,9886,10344,10800,11258
9659,NOV,1352,2733,2268,3034,3492,3950,4408,4866,5324,5783,6241,6699,7157,7615,8073,8531,8989,9448,9906,10364,10822,11280
9660,DEC,1354,2738,2272,3040,3499,3958,4417,4876,5335,5794,6253,6712,7171,7631,8089,8548,9007,9467,9926,10385,10844,11303
9661,JAN,1356,2744,2276,3045,3505,3966,4425,4885,5345,5806,6265,6725,7185,7646,8106,8565,9025,9486,9945,10406,10865,11326
9662,FEB,1359,2749,2280,3051,3512,3973,4434,4895,5356,5817,6278,6739,7200,7661,8122,8582,9043,9504,9965,10427,10887,11348
9663,MAR,1361,2754,2284,3057,3519,3981,4442,4904,5366,5828,6290,6752,7214,7676,8138,8599,9061,9523,9985,10448,10909,11371
9664,APR,1363,2759,2289,3063,3525,3988,4451,4914,5377,5840,6302,6765,7228,7691,8154,8616,9079,9542,10005,10468,10931,11394
9665,MAY,1365,2765,2293,3068,3532,3996,4459,4923,5387,5851,6315,6779,7242,7706,8170,8633,9097,9561,10025,10489,10952,11416
9666,JUN,1367,2770,2297,3074,3539,4004,4468,4933,5398,5862,6327,6792,7256,7722,8186,8650,9115,9580,10045,10510,10974,11439
9667,JUL,1370,2775,2301,3080,3545,4011,4477,4942,5408,5874,6339,6805,7271,7737,8202,8667,9133,9599,10065,10531,10996,11462
9668,AUG,1372,2781,2305,3086,3552,4019,4485,4952,5418,5885,6352,6818,7285,7752,8218,8684,9151,9618,10084,10552,11018,11484
9669,SEP,1374,2786,2309,3091,3559,4027,4494,4961,5429,5897,6364,6832,7299,7767,8234,8701,9169,9637,10104,10572,11039,11507
9670,OCT,1376,2791,2313,3097,3566,4034,4502,4971,5439,5908,6376,6845,7313,7782,8250,8718,9187,9656,10124,10593,11061,11530
9671,NOV,1379,2796,2317,3103,3572,4042,4511,4981,5450,5919,6389,6858,7328,7797,8267,8735,9205,9675,10144,10614,11083,11552
9672,DEC,1381,2802,2321,3109,3579,4049,4519,4990,5460,5931,6401,6871,7342,7812,8283,8752,9223,9694,10164,10635,11105,11575
9673,JAN,1383,2807,2326,3114,3586,4057,4528,5000,5471,5942,6413,6885,7356,7828,8299,8769,9241,9713,10184,10656,11126,11598
9674,FEB,1385,2812,2330,3120,3592,4065,4537,5009,5481,5954,6426,6898,7370,7843,8315,8786,9259,9731,10204,10676,11148,11620
9675,MAR,1387,2818,2334,3126,3599,4072,4545,5019,5492,5965,6438,6911,7384,7858,8331,8803,9277,9750,10223,10697,11170,11643
9676,APR,1390,2823,2338,3132,3606,4080,4554,5028,5502,5976,6450,6925,7399,7873,8347,8820,9295,9769,10243,10718,11192,11666
9677,MAY,1392,2828,2342,3137,3612,4088,4562,5038,5512,5988,6463,6938,7413,7888,8363,8837,9313,9788,10263,10739,11213,11688
9678,JUN,1394,2833,2346,3143,3619,4095,4571,5047,5523,5999,6475,6951,7427,7903,8379,8855,9331,9807,10283,10760,11235,11711
9679,JUL,1396,2839,2350,3149,3626,4103,4579,5057,5533,6011,6487,6964,7441,7919,8395,8872,9349,9826,10303,10780,11257,11734
9680,AUG,1399,2844,2354,3155,3632,4111,4588,5066,5544,6022,6500,6978,7456,7934,8411,8889,9367,9845,10323,10801,11279,11757
9681,SEP,1401,2849,2358,3160,3639,4118,4597,5076,5554,6033,6512,6991,7470,7949,8427,8906,9385,9864,10343,10822,11300,11779
9682,OCT,1403,2854,2362,3166,3646,4126,4605,5085,5565,6045,6524,7004,7484,7964,8444,8923,9403,9883,10362,10843,11322,11802
9683,NOV,1405,2860,2367,3172,3653,4133,4614,5095,5575,6056,6537,7018,7498,7979,8460,8940,9421,9902,10382,10864,11344,11825
9684,DEC,1407,2865,2371,3178,3659,4141,4622,5104,5586,6068,6549,7031,7512,7994,8476,8957,9439,9921,10402,10884,11365,11847
9685,JAN,1410,2870,2375,3183,3666,4149,4631,5114,5596,6079,6561,7044,7527,8009,8492,8974,9457,9940,10422,10905,11387,11870
9686,FEB,1412,2876,2379,3189,3673,4156,4639,5123,5607,6090,6574,7057,7541,8025,8508,8991,9475,9958,10442,10926,11409,11893
9687,MAR,1414,2881,2383,3195,3679,4164,4648,5133,5617,6102,6586,7071,7555,8040,8524,9008,9492,9977,10462,10947,11431,11915
9688,APR,1416,2886,2387,3201,3686,4172,4657,5142,5627,6113,6598,7084,7569,8055,8540,9025,9510,9996,10482,10968,11452,11938
9689,MAY,1419,2891,2391,3206,3693,4179,4665,5152,5638,6125,6611,7097,7583,8070,8556,9042,9528,10015,10501,10988,11474,11961
9690,JUN,1421,2897,2395,3212,3699,4187,4674,5161,5648,6136,6623,7110,7598,8085,8572,9059,9546,10034,10521,11009,11496,11983
9691,JUL,1423,2902,2399,3218,3706,4195,4682,5171,5659,6147,6635,7124,7612,8100,8588,9076,9564,10053,10541,11030,11518,12006
9692,AUG,1425,2907,2404,3224,3713,4202,4691,5180,5669,6159,6648,7137,7626,8116,8605,9093,9582,10072,10561,11051,11539,12029
9693,SEP,1427,2913,2408,3229,3719,4210,4699,5190,5680,6170,6660,7150,7640,8131,8621,9110,9600,10091,10581,11072,11561,12051
9694,OCT,1430,2918,2412,3235,3726,4217,4708,5199,5690,6182,6672,7164,7655,8146,8637,9127,9618,10110,10601,11092,11583,12074
9695,NOV,1432,2923,2416,3241,3733,4225,4717,5209,5701,6193,6685,7177,7669,8161,8653,9144,9636,10129,10621,11113,11605,12097
9696,DEC,1434,2928,2420,3247,3740,4233,4725,5218,5711,6204,6697,7190,7683,8176,8669,9161,9654,10148,10640,11134,11626,12119
9697,JAN,1436,2934,2424,3252,3746,4240,4734,5228,5722,6216,6709,7203,7697,8191,8685,9178,9672,10167,10660,11155,11648,12142
9698,FEB,1439,2939,2428,3258,3753,4248,4742,5237,5732,6227,6722,7217,7711,8207,8701,9195,9690,10186,10680,11176,11670,12165
9699,MAR,1441,2944,2432,3264,3760,4256,4751,5247,5742,6239,6734,7230,7726,8222,8717,9212,9708,10204,10700,11196,11692,12187
9700,APR,1443,2950,2436,3270,3766,4263,4759,5256,5753,6250,6746,7243,7740,8237,8733,9229,9726,10223,10720,11217,11713,12210
9701,MAY,1445,2955,2440,3275,3773,4271,4768,5266,5763,6261,6759,7256,7754,8252,8749,9246,9744,10242,10740,11238,11735,12233
9702,JUN,1447,2960,2445,3281,3780,4278,4777,5275,5774,6273,6771,7270,7768,8267,8766,9263,9762,10261,10760,11259,11757,12256
9703,JUL,1450,2965,2449,3287,3786,4286,4785,5285,5784,6284,6783,7283,7782,8282,8782,9280,9780,10280,10779,11280,11779,12278
9704,AUG,1452,2971,2453,3293,3793,4294,4794,5294,5795,6295,6796,7296,7797,8297,8798,9297,9798,10299,10799,11300,11800,12301
9705,SEP,1454,2976,2457,3298,3800,4301,4802,5304,5805,6307,6808,7310,7811,8313,8814,9315,9816,10318,10819,11321,11822,12324
9706,OCT,1456,2981,2461,3304,3806,4309,4811,5313,5816,6318,6820,7323,7825,8328,8830,9332,9834,10337,10839,11342,11844,12346
9707,NOV,1459,2986,2465,3310,3813,4317,4819,5323,5826,6330,6833,7336,7839,8343,8846,9349,9852,10356,10859,11363,11865,12369
9708,DEC,1461,2992,2469,3316,3820,4324,4828,5332,5837,6341,6845,7349,7854,8358,8862,9366,9870,10375,10879,11384,11887,12392
9709,JAN,1463,2997,2473,3321,3827,4332,4837,5342,5847,6352,6857,7363,7868,8373,8878,9383,9888,10394,10899,11404,11909,12414
9710,FEB,1465,3002,2477,3327,3833,4340,4845,5352,5857,6364,6870,7376,7882,8388,8894,9400,9906,10413,10918,11425,11931,12437
9711,MAR,1467,3008,2482,3333,3840,4347,4854,5361,5868,6375,6882,7389,7896,8404,8910,9417,9924,10431,10938,11446,11952,12460
9712,APR,1470,3013,2486,3339,3847,4355,4862,5371,5878,6387,6894,7402,7910,8419,8926,9434,9942,10450,10958,11467,11974,12482
9713,MAY,1472,3018,2490,3344,3853,4362,4871,5380,5889,6398,6907,7416,7925,8434,8943,9451,9960,10469,10978,11488,11996,12505
9714,JUN,1474,3023,2494,3350,3860,4370,4879,5390,5899,6409,6919,7429,7939,8449,8959,9468,9978,10488,10998,11508,12018,12528
9715,JUL,1476,3029,2498,3356,3867,4378,4888,5399,5910,6421,6931,7442,7953,8464,8975,9485,9996,10507,11018,11529,12039,12550
9716,AUG,1479,3034,2502,3362,3873,4385,4897,5409,5920,6432,6944,7456,7967,8479,8991,9502,10014,10526,11038,11550,12061,12573
9717,SEP,1481,3039,2506,3367,3880,4393,4905,5418,5931,6444,6956,7469,7981,8495,9007,9519,10032,10545,11057,11571,12083,12596
9718,OCT,1483,3045,2510,3373,3887,4401,4914,5428,5941,6455,6968,7482,7996,8510,9023,9536,10050,10564,11077,11592,12105,12618
9719,NOV,1485,3050,2514,3379,3893,4408,4922,5437,5952,6466,6981,7495,8010,8525,9039,9553,10068,10583,11097,11612,12126,12641
9720,DEC,1488,3055,2518,3385,3900,4416,4931,5447,5962,6478,6993,7509,8024,8540,9055,9570,10086,10602,11117,11633,12148,12664
9721,JAN,1490,3060,2523,3390,3907,4423,4939,5456,5972,6489,7005,7522,8038,8555,9071,9587,10104,10621,11137,11654,12170,12686
9722,FEB,1492,3066,2527,3396,3914,4431,4948,5466,5983,6501,7018,7535,8053,8570,9087,9604,10122,10640,11157,11675,12192,12709
9723,MAR,1494,3071,2531,3402,3920,4439,4957,5475,5993,6512,7030,7549,8067,8585,9104,9621,10140,10658,11177,11696,12213,12732
9724,APR,1496,3076,2535,3408,3927,4446,4965,5485,6004,6523,7042,7562,8081,8601,9120,9638,10158,10677,11196,11716,12235,12754
9725,MAY,1499,3082,2539,3413,3934,4454,4974,5494,6014,6535,7055,7575,8095,8616,9136,9655,10176,10696,11216,11737,12257,12777
9726,JUN,1501,3087,2543,3419,3940,4462,4982,5504,6025,6546,7067,7588,8109,8631,9152,9672,10194,10715,11236,11758,12279,12800
9727,JUL,1503,3092,2547,3425,3947,4469,4991,5513,6035,6558,7079,7602,8124,8646,9168,9689,10212,10734,11256,11779,12300,12823
9728,AUG,1505,3097,2551,3431,3954,4477,4999,5523,6046,6569,7092,7615,8138,8661,9184,9706,10230,10753,11276,11800,12322,12845
9729,SEP,1508,3103,2555,3436,3960,4485,5008,5532,6056,6580,7104,7628,8152,8676,9200,9723,10248,10772,11296,11820,12344,12868
9730,OCT,1510,3108,2560,3442,3967,4492,5017,5542,6067,6592,7116,7641,8166,8692,9216,9740,10265,10791,11316,11841,12366,12891
9731,NOV,1512,3113,2564,3448,3974,4500,5025,5551,6077,6603,7129,7655,8180,8707,9232,9757,10283,10810,11335,11862,12387,12913
9732,DEC,1514,3118,2568,3454,3980,4507,5034,5561,6087,6615,7141,7668,8195,8722,9248,9774,10301,10829,11355,11883,12409,12936
9733,JAN,1516,3124,2572,3459,3987,4515,5042,5570,6098,6626,7153,7681,8209,8737,9265,9792,10319,10848,11375,11904,12431,12959
9734,FEB,1519,3129,2576,3465,3994,4523,5051,5580,6108,6637,7166,7695,8223,8752,9281,9809,10337,10867,11395,11924,12452,12981
9735,MAR,1521,3134,2580,3471,4000,4530,5059,5589,6119,6649,7178,7708,8237,8767,9297,9826,10355,10885,11415,11945,12474,13004
9736,APR,1523,3140,2584,3477,4007,4538,5068,5599,6129,6660,7190,7721,8252,8782,9313,9843,10373,10904,11435,11966,12496,13027
9737,MAY,1525,3145,2588,3482,4014,4546,5077,5608,6140,6671,7203,7734,8266,8798,9329,9860,10391,10923,11455,11987,12518,13049
9738,JUN,1528,3150,2592,3488,4021,4553,5085,5618,6150,6683,7215,7748,8280,8813,9345,9877,10409,10942,11474,12008,12539,13072
9739,JUL,1530,3155,2596,3494,4027,4561,5094,5627,6161,6694,7227,7761,8294,8828,9361,9894,10427,10961,11494,12028,12561,13095
9740,AUG,1532,3161,2601,3500,4034,4568,5102,5637,6171,6706,7240,7774,8308,8843,9377,9911,10445,10980,11514,12049,12583,13117
9741,SEP,1534,3166,2605,3505,4041,4576,5111,5646,6181,6717,7252,7787,8323,8858,9393,9928,10463,10999,11534,12070,12605,13140
9742,OCT,1536,3171,2609,3511,4047,4584,5119,5656,6192,6728,7264,7801,8337,8873,9409,9945,10481,11018,11554,12091,12626,13163
9743,NOV,1539,3177,2613,3517,4054,4591,5128,5665,6202,6740,7277,7814,8351,8889,9425,9962,10499,11037,11574,12112,12648,13185
9744,DEC,1541,3182,2617,3523,4061,4599,5137,5675,6213,6751,7289,7827,8365,8904,9442,9979,10517,11056,11594,12132,12670,13208
9745,JAN,1543,3187,2621,3528,4067,4607,5145,5684,6223,6763,7301,7841,8380,8919,9458,9996,10535,11075,11613,12153,12692,13231
9746,FEB,1545,3192,2625,3534,4074,4614,5154,5694,6234,6774,7314,7854,8394,8934,9474,10013,10553,11094,11633,12174,12713,13253
9747,MAR,1548,3198,2629,3540,4081,4622,5162,5703,6244,6785,7326,7867,8408,8949,9490,10030,10571,11113,11653,12195,12735,13276
9748,APR,1550,3203,2633,3546,4087,4630,5171,5713,6255,6797,7338,7880,8422,8964,9506,10047,10589,11131,11673,12216,12757,13299
9749,MAY,1552,3208,2637,3551,4094,4637,5179,5723,6265,6808,7351,7894,8436,8980,9522,10064,10607,11150,11693,12236,12779,13321
9750,JUN,1554,3214,2642,3557,4101,4645,5188,5732,6276,6820,7363,7907,8451,8995,9538,10081,10625,11169,11713,12257,12800,13344
9751,JUL,1556,3219,2646,3563,4108,4652,5197,5742,6286,6831,7375,7920,8465,9010,9554,10098,10643,11188,11733,12278,12822,13367
9752,AUG,1559,3224,2650,3569,4114,4660,5205,5751,6296,6842,7388,7933,8479,9025,9570,10115,10661,11207,11752,12299,12844,13390
9753,SEP,1561,3229,2654,3574,4121,4668,5214,5761,6307,6854,7400,7947,8493,9040,9586,10132,10679,11226,11772,12320,12866,13412
9754,OCT,1563,3235,2658,3580,4128,4675,5222,5770,6317,6865,7412,7960,8507,9055,9603,10149,10697,11245,11792,12340,12887,13435
9755,NOV,1565,3240,2662,3586,4134,4683,5231,5780,6328,6877,7425,7973,8522,9070,9619,10166,10715,11264,11812,12361,12909,13458
9756,DEC,1568,3245,2666,3592,4141,4691,5239,5789,6338,6888,7437,7987,8536,9086,9635,10183,10733,11283,11832,12382,12931,13480
9757,JAN,1570,3250,2670,3597,4148,4698,5248,5799,6349,6899,7449,8000,8550,9101,9651,10200,10751,11302,11852,12403,12952,13503
9758,FEB,1572,3256,2674,3603,4154,4706,5257,5808,6359,6911,7462,8013,8564,9116,9667,10217,10769,11321,11872,12424,12974,13526
9759,MAR,1574,3261,2679,3609,4161,4713,5265,5818,6370,6922,7474,8026,8579,9131,9683,10234,10787,11340,11891,12444,12996,13548
9760,APR,1576,3266,2683,3615,4168,4721,5274,5827,6380,6934,7486,8040,8593,9146,9699,10251,10805,11358,11911,12465,13018,13571
9761,MAY,1579,3272,2687,3620,4174,4729,5282,5837,6391,6945,7499,8053,8607,9161,9715,10269,10823,11377,11931,12486,13039,13594
9762,JUN,1581,3277,2691,3626,4181,4736,5291,5846,6401,6956,7511,8066,8621,9177,9731,10286,10841,11396,11951,12507,13061,13616
9763,JUL,1583,3282,2695,3632,4188,4744,5299,5856,6411,6968,7523,8080,8635,9192,9747,10303,10859,11415,11971,12528,13083,13639
9764,AUG,1585,3287,2699,3638,4195,4752,5308,5865,6422,6979,7536,8093,8650,9207,9764,10320,10877,11434,11991,12548,13105,13662
9765,SEP,1588,3293,2703,3643,4201,4759,5317,5875,6432,6991,7548,8106,8664,9222,9780,10337,10895,11453,12011,12569,13126,13684
9766,OCT,1590,3298,2707,3649,4208,4767,5325,5884,6443,7002,7560,8119,8678,9237,9796,10354,10913,11472,12031,12590,13148,13707
